Year,Month,Day,date,TSU,EQ,Name,Location,Country,Type,Status,intensity,type
1580,,,1/1/1580,,,Billy Mitchell,Bougainville-SW Paci,Papua New Guinea,Pyroclastic shield,Radiocarbon,6,v
1581,12,26,12/26/1581,,,Fuego,Guatemala,Guatemala,Stratovolcano,Historical,4,v
1586,,,1/1/1586,,,Kelut,Java,Indonesia,Stratovolcano,Historical,5,v
1587,,,1/1/1587,,,Merapi,Java,Indonesia,Stratovolcano,Historical,4,v
1590,1,15,1/15/1590,,,Colima,Mexico,Mexico,Stratovolcano,Historical,3,v
1593,,,1/1/1593,,,Raung,Java,Indonesia,Stratovolcano,Historical,5,v
1595,3,12,3/12/1595,,,Ruiz,Colombia,Colombia,Stratovolcano,Historical,4,v
1597,1,3,1/3/1597,,,Hekla,Iceland-S,Iceland,Stratovolcano,Historical,4,v
1597,,,1/1/1597,,,Raung,Java,Indonesia,Stratovolcano,Historical,3,v
1598,,,1/1/1598,,,Banda Api,Banda Sea,Pacific Ocean,Caldera,Historical,3,v
1600,2,19,2/19/1600,,EQ,Huaynaputina,Peru,Peru,Stratovolcano,Historical,6,v
1608,7,18,7/18/1608,TSU,,Gamalama,Halmahera-Indonesia,Indonesia,Stratovolcano,Historical,3,v
1615,3,,3/1/1615,,,Banda Api,Banda Sea,Pacific Ocean,Caldera,Historical,3,v
1617,,,1/1/1617,,,Fuego,Guatemala,Guatemala,Stratovolcano,Historical,3,v
1625,9,2,9/2/1625,,,Katla,Iceland-S,Iceland,Subglacial volcano,Historical,5,v
1630,9,3,9/3/1630,,,Furnas,Azores,Portugal,Stratovolcano,Historical,4,v
1631,12,16,12/16/1631,TSU,EQ,Vesuvius,Italy,Italy,Complex volcano,Historical,5,v
1636,5,15,5/15/1636,,,Hekla,Iceland-S,Iceland,Stratovolcano,Historical,3,v
1638,,,1/1/1638,,,Raung,Java,Indonesia,Stratovolcano,Historical,4,v
1640,7,31,7/31/1640,TSU,EQ,Komaga-take,Hokkaido-Japan,Japan,Stratovolcano,Historical,5,v
1640,,,1/1/1640,,,Tungurahua,Ecuador,Ecuador,Stratovolcano,Historical,3,v
1646,7,19,7/19/1646,,,Makian,Halmahera-Indonesia,Indonesia,Stratovolcano,Historical,4,v
1650,9,26,9/26/1650,TSU,,Santorini,Greece,Greece,Shield volcano,Historical,4,v
