I_D,YEAR,MONTH,DAY,date,HOUR,MINUTE,SECOND,FOCAL_DEPTH,intensity,COUNTRY,STATE,LOCATION_NAME,,type
5222,1990,2,8,2/8/1990,7,15,32.2,26,6.6,PHILIPPINES,,"PHILIPPINES:  BOHOL, CEBU, CAGAYAN DE ORO, CAMIGUIN",,e
6477,1990,2,20,2/20/1990,6,53,39.8,14,6.4,JAPAN,,JAPAN:  NEAR S. COAST OF HONSHU,,e
5223,1990,2,28,2/28/1990,23,43,36.6,5,5.5,USA,CA,"CALIFORNIA:  S,  CLAREMONT,  COVINA",,e
7709,1990,3,3,3/3/1990,12,16,27.9,33,7.6,FIJI,,FIJI ISLANDS,,e
5224,1990,3,4,3/4/1990,19,46,19.6,10,6.1,PAKISTAN,,"PAKISTAN:  KALAT, QUETTA, MASTUNG",,e
5225,1990,3,25,3/25/1990,13,22,55.6,22,7,COSTA RICA,,"COSTA RICA:  PUNTARENAS, SAN JOSE",,e
5226,1990,3,25,3/25/1990,14,17,18.8,33,6.3,TAJIKISTAN,,TAJIKISTAN:  PAMIR MOUNTAINS,,e
5227,1990,3,26,3/26/1990,22,47,16.7,39,5.5,PHILIPPINES,,PHILIPPINES:  SANTIAGO,,e
5228,1990,4,2,4/2/1990,13,46,31.7,18,4.7,UK,,"UNITED KINGDOM:  MANCHESTER, LIVERPOOL",,e
5229,1990,4,5,4/5/1990,21,12,35.5,11,7.5,USA TERRITORY,MP,NORTHERN MARIANA ISLANDS:  SAIPAN; GUAM,,e
5230,1990,4,17,4/17/1990,1,59,33.4,33,6.2,CHINA,,CHINA:  S XINJIANG:  WUQIA COUNTY,,e
5231,1990,4,18,4/18/1990,13,39,19,26,7.6,INDONESIA,,INDONESIA:  MINAHASSA PENINSULA: BOLAANG-GORONTALO,,e
5232,1990,4,18,4/18/1990,19,38,8.9,47,4.7,IRAN,,IRAN:  HANNA,,e
